DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 02222     LINCOLNWOOD  IL",-3.03,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 02222     LINCOLNWOOD  IL",-2.97,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                COMED PAYMENT            CHICAGO       IL",-621.32,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                IL TOLLWAY-WEB           DOWNERS GROV  IL",-119.30,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 02222    LINCOLNWOOD   IL",-7.02,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 02222    LINCOLNWOOD   IL",-6.01,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 00224    WILMETTE      IL",-4.68,MISC_DEBIT, ,,
DEBIT,07/23/2021,"POS DEBIT                STARBUCKS STORE 02222    LINCOLNWOOD   IL",-3.54,MISC_DEBIT, ,,
DEBIT,07/22/2021,"JEWEL OSCO 3471 WILMETTE IL          471693  07/22",-28.76,DEBIT_CARD,996.26,,
DEBIT,07/22/2021,"Zelle payment to Dreytser JPM656287625",-28.00,CHASE_TO_PARTNERFI,1025.02,,
DEBIT,07/22/2021,"THE GREAT CHICAGO FOOD CHICAGO IL            07/21",-4.98,DEBIT_CARD,1053.02,,
DEBIT,07/22/2021,"MATCH.COM 800-326-5161 TX                    07/21",-112.47,DEBIT_CARD,1058.00,,
DEBIT,07/22/2021,"UBER   TRIP HELP.UBER.COM CA                 07/21",-9.99,DEBIT_CARD,1170.47,,
DEBIT,07/21/2021,"UBER   TRIP HELP.UBER.COM CA                 07/21",-1.00,DEBIT_CARD,1180.46,,
DEBIT,07/21/2021,"PANDA EXPRESS 297 WILMETTE IL                07/20",-1.65,DEBIT_CARD,1181.46,,
DEBIT,07/21/2021,"PANDA EXPRESS 297 WILMETTE IL                07/20",-8.91,DEBIT_CARD,1183.11,,
DEBIT,07/21/2021,"STARBUCKS STORE 02222 LINCOLNWOOD IL         07/20",-7.68,DEBIT_CARD,1192.02,,
DEBIT,07/21/2021,"APPLE.COM/BILL 866-712-7753 CA               07/20",-7.99,DEBIT_CARD,1199.70,,
DEBIT,07/21/2021,"APPLE.COM/BILL 866-712-7753 CA               07/20",-2.99,DEBIT_CARD,1207.69,,
DEBIT,07/21/2021,"HARTIGANS ICE CREAM SHO EVANSTON IL          07/18",-19.96,DEBIT_CARD,1210.68,,
DEBIT,07/20/2021,"MONTHLY SERVICE FEE",-4.95,FEE_TRANSACTION,1230.64,,
DEBIT,07/20/2021,"SMART LLC        SMART LLC                  PPD ID: 205431152",-500.00,ACH_DEBIT,1235.59,,
DEBIT,07/20/2021,"STARBUCKS STORE 00275 WINNETKA IL            07/19",-6.81,DEBIT_CARD,1735.59,,
CREDIT,07/20/2021,"IDES             PAYMENTS                   PPD ID: 8965795623",1690.00,ACH_CREDIT,1742.40,,
DEBIT,07/19/2021,"Online Transfer to CHK ...4873 transaction#: 12208215519 07/19",-200.00,ACCT_XFER,52.40,,
DEBIT,07/19/2021,"JDATE 8009421570 HTTPSWWW.JDAT CA            07/19",-134.97,DEBIT_CARD,252.40,,
DEBIT,07/19/2021,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.00,ACH_DEBIT,387.37,,
DEBIT,07/19/2021,"UBER   TRIP HELP.UBER.COM CA                 07/19",-11.40,DEBIT_CARD,397.37,,
DEBIT,07/19/2021,"UBER   TRIP HELP.UBER.COM CA                 07/19",-5.25,DEBIT_CARD,408.77,,
DEBIT,07/19/2021,"SQ *HEROINES & HEROES Wilmette IL            07/18",-53.54,DEBIT_CARD,414.02,,
